RUN,Bottom-Right,Bottom-Left,Top-Left,Top-Right,Run-Type,Data-Type
2,14045,15352,11563,12107,FHC,DATA
2.5,11420,12387,9490,10052,FHC,DATA
3,51000,54639,41883,44167,FHC,DATA
4,55374,59298,45151,47464,FHC,DATA
4.5,57610,62031,47162,49782,FHC,DATA
5,5209,5304,4252,4516,RHC,DATA
6,39733,42184,33615,34736,RHC,DATA
7,28389,30489,23774,25198,RHC,DATA
8,50903,54092,41470,44433,FHC,DATA
8.5,133907,143075,109299,115351,FHC,DATA
9,26666,28176,22583,23619,RHC,DATA
2,587177,641624,471544,502210,FHC,MC
2.5,585429,640538,470763,501212,FHC,MC
3,1072230,1175536,864066,915710,FHC,MC
4,1260900,1380527,1014651,1079593,FHC,MC
4.5,1258020,1380670,1012046,1077038,FHC,MC
5,285751,308078,238068,249976,RHC,MC
6,460066,494643,382126,401086,RHC,MC
7,461132,497094,382578,403555,RHC,MC
8,1262504,1379330,1010636,1078024,FHC,MC
8.5,1561098,1709561,1254742,1335728,FHC,MC
9,339479,365306,281690,296281,RHC,MC
13,33536,35639,26928,27825,FHC,MC
,,,,,,
,,,,,,
,33536 + 35639 + 26928 + 27825,,,,,
